category,minimum,maximum
1.10.2021,6,14.1
2.10.2021,6,16.9
3.10.2021,8,18.1
4.10.2021,8,18.7
5.10.2021,10,18.2
6.10.2021,10,16.5
7.10.2021,4,14
8.10.2021,-2,13.6
9.10.2021,-2,13
10.10.2021,-3,12.4
11.10.2021,-3,14.1
12.10.2021,2,11.6
13.10.2021,1,10
14.10.2021,0,11.4
15.10.2021,7,14.4
16.10.2021,5,12.3
17.10.2021,5,9.7
18.10.2021,3,11.9
19.10.2021,3,10
20.10.2021,9,18
21.10.2021,11,16.6
22.10.2021,7,13.9
23.10.2021,4,9.7
24.10.2021,-1,8.3
25.10.2021,-2,11.5
26.10.2021,2,11.9
27.10.2021,7,14.2
28.10.2021,6,12.9
29.10.2021,4,16.6
30.10.2021,5,16.9
31.10.2021,6,17.3